test group,converted,total ads,most ads day,most ads hour
0,False,0.45,5,0.818182
0,False,0.3,0,0.818182
0,False,0.866667,4,0.818182
0,False,0.983333,1,0.545455
0,False,0.066667,6,0.863636
0,True,0.933333,3,0.818182
0,False,0.416667,5,0.954545
0,False,0.25,5,0.818182
0,False,0.783333,6,0.5
0,False,0.633333,4,0.909091
0,False,0.1,5,0.818182
0,False,0.383333,5,0.818182
0,False,0.383333,3,0.863636
0,False,0.883333,5,0.5
0,False,0.25,4,0.5
1,False,0.166667,1,0.409091
0,False,0.4,0,0.318182
0,False,0.733333,0,0.818182
0,False,0.9,6,0.5
0,False,0.3,4,0.590909
0,False,0.433333,5,0.818182
0,False,0.016667,5,0.818182
0,False,0.116667,5,0.818182
